input_address,census_tract,lon,lat,acc
"MILLSBORO LANDING, (Returned and Forwarded)",Unable To Geocode The Address,Unable To Geocode The Address,Unable To Geocode The Address,Unable to Geocode The Address
"400 north Broad St. Middletown, DE",166.01,-75.71770725399995,39.452868583000054,Census: Exact
"701 W. 4th street Unit A, Wilmingont, DE 19801",21,-75.55758075999995,39.74299849200003,Census: Non_Exact
"32 Diamond court Harrington, DE 19952",430,-75.57048491199998,38.921252594000066,Census: Exact
"35 Diamond court Harrington, DE 19952",430,-75.57042688699994,38.92068564700003,Census: Exact
"310 Market street Bridgeville, DE 19933",503.01,-75.60315505899996,38.74303680400004,Census: Exact
"708-10, 801,816, 822 west St., Wilmington, DE 19801",28,-75.55149202027893,39.74543198465622,ArcGIS: 87.71
"2910 Rosemont avenue Wilmington, DE 19802",30.02,-75.52345422499997,39.74963277300003,Census: Exact
"Bancroft Parkway, Wilmington, DE  19805",13,-75.57186289073468,39.75607740008254,ArcGIS: 100
"600 Block Ferris St. and Bayard Ave., Wilmington, DE 19805",24,-75.57484348699995,39.752003322000064,Census: Non_Exact
"426 New St. / 411 S. Queen St, Dover, DE 19901",414,-75.52813601471863,39.15473102086909,ArcGIS: 96.95
"2000 Mary Anagela Way, Newark, DE  19712",147.05,-75.71618273833816,39.6656199289158,ArcGIS: 96.58
"55 Race street Wilmington, DE 19812",6.02,-75.54230121466017,39.75097282877626,ArcGIS: 98.28
"Case Lane and Edwards boulevard Millsboro, DE  19966",506.02,-75.29199711143387,38.586581654826816,ArcGIS: 100
"25 Kiwanis drive Wilmington, DE 19802",107.02,-75.51446303516369,39.755461979543526,ArcGIS: 100
"35 Diamond court Harrington, DE 19952",430,-75.57042688699994,38.92068564700003,Census: Exact
"1100 Pennsylvania avenue Wilmington, DE 19806",15,-75.55677586399997,39.75255180100004,Census: Exact
"Union St. & Old Landing Rd, Millsboro, DE 19966",506.02,-75.28787380799997,38.58586587000008,Census: Exact
"2019 North Market street Wilmington, DE  19802",5,-75.54174052899998,39.751854105000064,Census: Exact
"1010 N. Broom street Wilmington, DE  19806",15,-75.56218107799998,39.75159206100005,Census: Exact
"401 Bayard avenue Wilmingont, DE 19801",24,-75.57518900166042,39.750661998871095,ArcGIS: 97.13
"DUNBARTON STATION, Rcv'd Rev Proc Extension",Unable To Geocode The Address,-4.568886372778797,55.946311359793775,ArcGIS: 72.25
"1289 Walker Road, Dover, DE  19901",407,-75.55637240499993,39.167185569000026,Census: Non_Exact
"900-1108 Dunbarton Apts., Georgetown, DE 19947",505.03,-75.39663904132165,38.69126298869554,ArcGIS: 98.11
"825 Kings Highway, #101, Lewes, DE  19958",509.02,-75.14529768299997,38.76164546600006,Census: Exact
"Union St. & Old Landing Rd, Millsboro, DE 19966",506.02,-75.28787380799997,38.58586587000008,Census: Exact
"Halls Heritage Circle, Millsboro, DE  19966",506.02,-75.29852190919607,38.58629459541729,ArcGIS: 100
"431 Old Forge Road, New Castle, DE  19720",149.08,-75.62710744399999,39.652231312000026,Census: Exact
"8093 S DuPont Hwy, Felton, DE 19943",422.01,-75.55602315999994,39.05392870700007,Census: Exact
"1100 Pennsylvania Ave., Wilmington, DE 19806",15,-75.55677586399997,39.75255180100004,Census: Exact
"610 Bayard avenue Wilmington, DE 19805",24,-75.57415858399997,39.75180082800006,Census: Exact
"2910 Rosemont avenue Wilmington, DE 19802",30.02,-75.52345422499997,39.74963277300003,Census: Exact
"200 Goldbsorough Way, Smyrna, DE 19977",402.03,-75.59817958995916,39.3016806789212,ArcGIS: 98.51
"300 East 8th street Wilmington, DE  19801",29,-75.54647152099994,39.74226094900007,Census: Exact
"310 Market street , Bridgeville, DE  19933",503.01,-75.60315505899996,38.74303680400004,Census: Exact
"600 Block Ferris St. and Bayard Ave., Wilmington, DE 19805",24,-75.57484348699995,39.752003322000064,Census: Non_Exact
"310 Market street Bridgeville, DE 19933",503.01,-75.60315505899996,38.74303680400004,Census: Exact
"1400 Todds Lane, Wilmington, DE 19802",30.02,-75.52361482999999,39.750524996000024,Census: Exact
"700 Mason avenue Harrington, DE 19952",430,-75.58331970299997,38.92434515400004,Census: Exact
"Bancroft Parkway, Wilmington, DE  19805",13,-75.57186289073468,39.75607740008254,ArcGIS: 100
"831A Towne court Wilmington, DE 19801",29,-75.54430621299997,39.74187410400003,Census: Exact
"705 Independence drive Seaford, DE 19973",504.06,-75.60355403255836,38.65666798253389,ArcGIS: 100
